 NAME;formula;ALTERNATIVE_NAME;ANOTHER_NAME;"OSTATOK
";"KOMNATA
";SHKAFF;POLKA;KOMENT;CAS;Smiles
N-Bromosuccinimide;C4H4BrNO2;1-Bromo-2,5-pyrrolidinedione;NBS;500 g;34.430;freezer  1;1;;;BrN1C(=O)CCC1=O
2,5-Dibromo-3,4-dinitrothiophene;C4Br2N2O4S;;;10 g;34.430;freezer 1;1;;;[O-][N+](=O)C1=C(Br)SC(Br)=C1[N+]([O-])=O
Triethyloxonium tetrafluoroborate;(C2H5)3OBF4;;Meerwein's salt;2 x 100 g;34.430;freezer 1;3;;;F[B-](F)(F)F.CC[O+](CC)CC
2,6-dichloropyridine-4-carbaldehyde;C6H3Cl2NO;2,6-Dichloropyridine-4-carbaldehyde;;;34.430;freezer 1;3;;;ClC1=CC(C=O)=CC(Cl)=N1
9-Fluorenylmethoxycarbonyl chloride;C15H11ClO2;9-Fluorenylmethyl chloroformate;Fmoc chloride;50 g;34.430;freezer 1;3;;;ClC(=O)OCC1C2=CC=CC=C2C2=CC=CC=C12
2,3,5,6-tetrafluoropyridine-4-carbaldehyde;C6HF4NO;2,3,5,6-Tetrafluoropyridine-4-carbaldehyde;2,3,5,6-tetrafluoroisonicotinaldehyde;;34.430;freezer 1;3;3;;FC1=NC(F)=C(F)C(C=O)=C1F
1,2,3,5,6,7-hexahydropyrido[3,2,1-ij]quinolin-8-ol;C12H15NO;;"Cas 	41175-50-2";10 g;34.430;freezer 1;3;;;OC1=CC=C2CCCN3CCCC1=C23
4-Azidobenzoic acid;C7H5N3O2;p-Azidobenzoic acid;;2 g;34.430;freezer 1;3;;;OC(=O)C1=CC=C(C=C1)N=[N+]=[N-]
4-azidobutanoic Acid;;4-azidobutyric acid;;3 x 10 g;34.430;freezer 1;3;;;OC(=O)CCCN=[N+]=[N-]
ethyl 4-azidobutanoate;;;M3209;10 ml;34.430;freezer 1;3;;;O=C(OCC)CCCN=[N+]=[N-]
 1,1,1-Tris(acetyloxy)-1,1-dihydro-1,2-benziodoxol-3-(1H)-one;;Dess-Martin periodinane;DMP;100 g;34.430;freezer 1;3;;;CC(=O)O[I]1(OC(C)=O)(OC(C)=O)OC(=O)C2=C1C=CC=C2
1-Cyclohexylpiperazine;;;;20 g;34.430;freezer 1;3;;;C1CCC(CC1)N1CCNCC1
4-Methylbenzene-1-sulfonyl azide;;Tosyl azide;TsN3;60 g;34.430;freezer 1;3;;;CC1=CC=C(C=C1)S(=O)(=O)N=[N+]=[N-]
Dimethyl 2-oxopropylphosphonate;;Dimethyl acetonylphosphonate;;25 g;34.430;freezer 1;3;;;COP(=O)(CC(C)=O)OC
